date,predicted_carbon_kg,ci_lower,ci_upper
2026-06-06,16.28954831443363,13.940510827091074,18.638585801776188
2026-06-07,16.298820434898072,13.891373082848437,18.706267786947706
2026-06-08,16.29930794396627,13.853531934134645,18.745083953797895
2026-06-09,16.299333576192737,13.816690106636141,18.781977045749333
2026-06-10,16.299334923882608,13.780408324866428,18.818261522898787
2026-06-11,16.299334994741375,13.74464284832333,18.85402714115942
2026-06-12,16.299334998466986,13.709371274587728,18.889298722346243
2026-06-13,16.29933499866287,13.674573640699403,18.92409635662634
2026-06-14,16.29933499867317,13.6402313377036,18.95843865964274
2026-06-15,16.29933499867371,13.606326945730931,18.99234305161649
2026-06-16,16.29933499867374,13.572844128224549,19.02582586912293
2026-06-17,16.29933499867374,13.539767539800764,19.058902457546715
2026-06-18,16.29933499867374,13.507082744041556,19.091587253305924
2026-06-19,16.29933499867374,13.474776139855894,19.123893857491584
2026-06-20,16.29933499867374,13.4428348953385,19.15583510200898
2026-06-21,16.29933499867374,13.41124688821345,19.18742310913403
2026-06-22,16.29933499867374,13.380000652078621,19.218669345268857
2026-06-23,16.29933499867374,13.349085327775054,19.249584669572425
2026-06-24,16.29933499867374,13.31849061929637,19.28017937805111
2026-06-25,16.29933499867374,13.288206753730737,19.31046324361674
2026-06-26,16.29933499867374,13.258224444793566,19.340445552553913
2026-06-27,16.29933499867374,13.228534859565166,19.370135137782313
2026-06-28,16.29933499867374,13.19912958809574,19.39954040925174
2026-06-29,16.29933499867374,13.170000615581234,19.428669381766245
2026-06-30,16.29933499867374,13.141140296849166,19.457529700498313
2026-07-01,16.29933499867374,13.112541332924312,19.486128664423166
2026-07-02,16.29933499867374,13.084196749470678,19.5144732478768
2026-07-03,16.29933499867374,13.056099876929343,19.542570120418134
2026-07-04,16.29933499867374,13.028244332191955,19.570425665155526
2026-07-05,16.29933499867374,13.000624001667166,19.598045995680312
2026-07-06,16.29933499867374,12.973233025612787,19.625436971734693
2026-07-07,16.29933499867374,12.946065783619895,19.65260421372758
2026-07-08,16.29933499867374,12.91911688114705,19.679553116200427
2026-07-09,16.29933499867374,12.892381137013217,19.70628886033426
2026-07-10,16.29933499867374,12.865853571767312,19.732816425580168
2026-07-11,16.29933499867374,12.839529396860357,19.75914060048712
2026-07-12,16.29933499867374,12.813404004553645,19.785265992793835
2026-07-13,16.29933499867374,12.787472958502605,19.811197038844874
2026-07-14,16.29933499867374,12.761731984961937,19.83693801238554
2026-07-15,16.29933499867374,12.73617696456261,19.86249303278487
2026-07-16,16.29933499867374,12.710803924615924,19.887866072731555
2026-07-17,16.29933499867374,12.685609031903928,19.91306096544355
2026-07-18,16.29933499867374,12.660588585919168,19.93808141142831
2026-07-19,16.29933499867374,12.635739012519956,19.962930984827523
2026-07-20,16.29933499867374,12.611056857970414,19.987613139377064
